eid,eff_doi,title,source,doctype,mechanism_family,study_type,performance_reported,decision,pass2_note
2-s2.0-85096784584,10.1115/smasis2020-2302,Design optimization of shape memory alloy-based adaptive building skins for thermal regulation,ASME 2020 Conference on Smart Materials Adaptive Structures and Intelligent Systems Smasis 2020,Conference Paper,material-driven,simulation,energy,include,
2-s2.0-85105096140,10.1016/j.ifacol.2020.12.1585,Facade-integrated semi-active vibration control for wind-excited super-slender tall buildings,IFAC Papersonline,Conference Paper,unclear,unclear,comfort,include,
2-s2.0-85098010750,10.1007/978-3-030-17308-1_41,New technologies for adaptive architecture,Advances in Science Technology and Innovation,Book Chapter,unclear,unclear,energy,include,
2-s2.0-85074160165,10.1016/j.engstruct.2019.109839,Computational design optimization of a smart material shape changing building skin tile,Engineering Structures,Article,material-driven,simulation,energy,include,
2-s2.0-85064130830,10.3992/1943-4618.14.1.165,Environmentally responsive kinetic faÇade for educational buildings,Journal of Green Building,Article,unclear,unclear,none,include,
2-s2.0-85083834833,10.3390/su11247096,A Study on Multi-Objective Parametric Design Tool for Surround-Type Movable Shading Device,Sustainability Switzerland,Article,unclear,simulation,multiple,include,
2-s2.0-85073719492,10.1016/j.autcon.2019.102959,Self-reconfigurable façade-cleaning robot equipped with deep-learning-based crack detection based on convolutional neural networks,Automation in Construction,Article,unclear,experiment,none,include,
2-s2.0-85072262008,10.1016/j.apenergy.2019.113896,Improved thermal-electrical-optical model and performance assessment of a PV-blind embedded glazing façade system with complex shading effects,Applied Energy,Article,mechanical,experiment,daylight,include,
2-s2.0-85076256444,10.1088/1742-6596/1343/1/012162,Shaping light to influence occupants' experience of space: A kinetic shading system with composite materials,Journal of Physics Conference Series,Conference Paper,unclear,prototype,daylight,include,
2-s2.0-85077305362,10.1145/3363459.3363538,"Advanced daylight admission systems using auxetic structures in Florida, USA",Urbsys 2019 Proceedings of the 1st ACM International Workshop on Urban Building Energy Sensing Controls Big Data Analysis and Visualization Part of Buildsys 2019,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-85071987660,10.1016/j.buildenv.2019.106396,Interactive kinetic façade: Improving visual comfort based on dynamic daylight and occupant's positions by 2D and 3D shape changes,Building and Environment,Article,unclear,simulation,multiple,include,
2-s2.0-85071466157,10.1016/j.scs.2019.101782,Form-finding mechanism derived from plant movement in response to environmental conditions for building envelopes,Sustainable Cities and Society,Article,material-driven,experiment,energy,include,
2-s2.0-85074712085,10.1088/1757-899x/609/7/072027,Control method for adaptive fa?ades based on energy conservation and glare protection strategies,Iop Conference Series Materials Science and Engineering,Conference Paper,origami-deployable,unclear,multiple,include,
2-s2.0-85068161154,10.1080/23744731.2019.1620578,Numerical optimization of integrated passive heating and cooling systems yields simple protocols for building energy decarbonization,Science and Technology for the Built Environment,Article,mechanical,simulation,multiple,include,
2-s2.0-85067042246,10.1016/j.autcon.2019.102857,Integrated parametric design of adaptive facades for user's visual comfort,Automation in Construction,Article,origami-deployable,prototype,multiple,include,
2-s2.0-85071003124,10.1016/j.solener.2019.07.027,Impact of different control strategies of perforated curved louvers on the visual comfort and energy consumption of office buildings in different climates,Solar Energy,Article,mechanical,simulation,multiple,include,
2-s2.0-85068484135,10.1016/j.foar.2019.06.001,Adaptive biomimetic facades: Enhancing energy efficiency of highly glazed buildings,Frontiers of Architectural Research,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85071983862,10.3390/su11174684,A novel composite material for foldable building envelopes,Sustainability Switzerland,Article,origami-deployable,unclear,none,include,
2-s2.0-85072394287,10.3390/app9183688,Numerical analysis of building envelope with movable phase change materials for heating applications,Applied Sciences Switzerland,Article,unclear,experiment,energy,include,
2-s2.0-85068928948,10.1038/s41560-019-0424-0,Dynamic photovoltaic building envelopes for adaptive energy and comfort management,Nature Energy,Article,unclear,prototype,multiple,include,
2-s2.0-85070579362,10.1088/1755-1315/296/1/012014,Chameleon Building,Iop Conference Series Earth and Environmental Science,Conference Paper,material-driven,experiment,none,include,
2-s2.0-85067676489,10.1080/00038628.2019.1614902,Prototype development of responsive kinetic façade control system for the elderly based on Ambient Assisted Living,Architectural Science Review,Article,unclear,prototype,comfort,include,
2-s2.0-85072103736,10.1109/iwmn.2019.8805024,Sensors and control solutions for Smart-IoT façade modules,2019 IEEE International Symposium on Measurements and Networking M and N 2019 Proceedings,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-85068756517,10.1088/1755-1315/290/1/012100,Solar Aperture of a Building Enclosure: The Case Study of a Well-Insulated Family House in Semi-Continental Climate,Iop Conference Series Earth and Environmental Science,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85064278798,10.1016/j.buildenv.2019.04.002,Building facade multi-objective optimization for daylight and aesthetical perception,Building and Environment,Article,unclear,simulation,daylight,include,
2-s2.0-85065913873,10.3390/buildings9040080,Thermal responsive performances of a Spanish balcony-based vernacular envelope,Buildings,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85062828961,10.3390/su11051253,"Heating, cooling, and lighting energy demand simulation analysis of kinetic shading devices with automatic dimming control for Asian Countries",Sustainability Switzerland,Article,origami-deployable,experiment,multiple,include,
2-s2.0-85062149950,10.1016/j.aej.2018.11.013,Adaptive building envelopes of multistory buildings as an example of high performance building skins,Alexandria Engineering Journal,Article,unclear,unclear,multiple,include,
2-s2.0-85062458386,10.3389/fmats.2019.00007,On the kinematics and actuation of dynamic sunscreens with tensegrity architecture,Frontiers in Materials,Article,origami-deployable,unclear,energy,include,
2-s2.0-85061844408,10.3390/s19040843,PLUG-N-HARVEST Architecture for secure and intelligent management of near-zero energy buildings,Sensors Switzerland,Article,origami-deployable,unclear,multiple,include,
2-s2.0-85062896429,10.1088/1402-4896/aaecb5,Wigner transform and stability of kinetic envelope soliton in an electron depleted dusty plasma with two temperature non-thermal ions,Physica Scripta,Article,unclear,simulation,none,include,
2-s2.0-85081595613,,A unified framework for optimizing the performance of a kinetic façade,Simulation Series,Conference Paper,unclear,unclear,unclear,include,
2-s2.0-85062951783,10.33383/2018-038,A novel framework to evaluate the performance of responsive kinetic shading devices,Light and Engineering,Article,unclear,experiment,daylight,include,
2-s2.0-85202615055,10.46855/energy-proceedings-2995,THE IMPACT OF DYNAMIC FACADE TYPOLOGY ON DAYLIGHT AND ENERGY PERFORMANCE: COMPARING ROTATION AND FOLDING MOTION,Energy Proceedings,Conference Paper,origami-deployable,simulation,multiple,include,
2-s2.0-85061911695,10.7480/jfde.2019.1.2778,A study on the impact of climate adaptive building shells on indoor comfort,Journal of Facade Design and Engineering,Article,unclear,simulation,multiple,include,
2-s2.0-85061933873,10.7480/jfde.2019.1.2662,SMP Prototype Design and Fabrication for Thermo-responsive Façade Elements,Journal of Facade Design and Engineering,Article,material-driven,experiment,multiple,include,
2-s2.0-85069792022,10.1117/12.2514132,Towards resilient adaptive origami-inspired diagrid building envelope,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,origami-deployable,simulation,energy,include,
2-s2.0-85071493486,,A study of kinetic façade modelling performance using virtual reality,Proceedings of the 36th International Symposium on Automation and Robotics in Construction Isarc 2019,Conference Paper,unclear,unclear,unclear,include,
2-s2.0-85069169883,10.5176/2301-394x_ace19.526,Wind pressure analysis of movable shading by using cfd,Proceedings of the Annual International Conference on Architecture and Civil Engineering,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85068211274,10.1007/978-981-13-8410-3_26,The Effect of Hygroscopic Design Parameters on the Programmability of Laminated Wood Composites for Adaptive Façades,Communications in Computer and Information Science,Conference Paper,material-driven,experiment,none,include,
2-s2.0-85062462263,10.2495/arc180121,A shape grammar approach to climatically adaptable façade systems with real time performance evaluation,Wit Transactions on the Built Environment,Conference Paper,unclear,simulation,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85064475717,10.1061/9780784482261.009,Daylighting and visual comfort performance of integrated dynamic roller shades and lighting controls,Aei 2019 Integrated Building Solutions the National Agenda Proceedings of the Architectural Engineering National Conference 2019,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-85079221576,10.1201/9780429426506-171,"Manufacturing, optimization and design of electroactive cnt-actuators for adaptive building envelopes",Advances in Engineering Materials Structures and Systems Innovations Mechanics and Applications Proceedings of the 7th International Conference on Structural Engineering Mechanics and Computation 2019,Conference Paper,unclear,experiment,comfort,include,
2-s2.0-85062896626,10.1007/978-3-030-03676-8_26,Hygroscapes: Innovative shape shifting façades,Lecture Notes in Civil Engineering,Book Chapter,material-driven,experiment,none,include,
2-s2.0-85086248507,,Simulative study and potential analysis of inflatable facade elements to balance environmental disturbances,9th Eccomas Thematic Conference on Smart Structures and Materials Smart 2019,Conference Paper,pneumatic-soft,simulation,unclear,include,
2-s2.0-85061922057,10.7480/jfde.2019.1.2620,Auxetic structures and advanced daylight control systems,Journal of Facade Design and Engineering,Article,unclear,experiment,multiple,include,
2-s2.0-85073168132,,Forming process of façade panels by curved folding with combined geometric and mechanical optimisation,Proceedings of the International Fib Symposium on Conceptual Design of Structures,Conference Paper,origami-deployable,simulation,unclear,include,
2-s2.0-85134792801,,Forming process of façade panels by curved folding with combined geometric and mechanical optimisation,Fib Symposium,Conference Paper,origami-deployable,simulation,unclear,include,
2-s2.0-85104907044,10.5151/proceedings-ecaadesigradi2019_446,Material Studies for Thermal Responsive Composite Envelopes,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,experiment,energy,include,
2-s2.0-85091599911,10.1201/9781315229126-82,Dynamic shelter structure,Structures and Architecture Bridging the Gap and Crossing Borders Proceedings of the 4th International Conference on Structures and Architecture Icsa 2019,Conference Paper,origami-deployable,simulation,none,include,
2-s2.0-85074449203,10.2749/newyork.2019.0352,Assessment of wind-induced vibration suppression and energy harvesting using facades,20th Congress of IABSE New York City 2019 the Evolving Metropolis Report,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85084098195,10.1115/smasis2019-5674,Developing a smart façade system controller for wind-induced vibration mitigation in tall buildings,ASME 2019 Conference on Smart Materials Adaptive Structures and Intelligent Systems Smasis 2019,Conference Paper,mechanical,experiment,comfort,include,
2-s2.0-85074447310,10.2749/newyork.2019.0767,Kinetic architecture application at the shed at Hudson yards,20th Congress of IABSE New York City 2019 the Evolving Metropolis Report,Conference Paper,origami-deployable,case-study,none,include,
2-s2.0-85065920239,10.1201/9781315229126-32,A hybrid adaptive composite based auxiliary envelope,Structures and Architecture Bridging the Gap and Crossing Borders Proceedings of the 4th International Conference on Structures and Architecture Icsa 2019,Conference Paper,mechanical,experiment,none,include,
2-s2.0-85063911160,10.3390/buildings9020044,Adaptive kinetic architecture and collective behavior: A Dynamic analysis for emergency evacuation,Buildings,Article,unclear,simulation,none,include,
2-s2.0-85069758062,10.1117/12.2522089,Breathing skins workshop: A hands-on investigation of bio-inspired foldable structures for temperature and humidity control in buildings,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,origami-deployable,experiment,none,include,
2-s2.0-85050405261,10.1061/(asce)ae.1943-5568.0000323,Exploration of Adaptive Origami Shading Concepts through Integrated Dynamic Simulations,Journal of Architectural Engineering,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85051140391,10.1016/j.apenergy.2018.07.046,Optical aspects and energy performance of switchable ethylene-tetrafluoroethylene (ETFE) foil cushions,Applied Energy,Article,pneumatic-soft,simulation,multiple,include,
2-s2.0-85047811689,10.1016/j.autcon.2018.05.013,Performative design environment for kinetic photovoltaic architecture,Automation in Construction,Article,unclear,experiment,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85046768748,10.1016/j.matdes.2018.04.044,Pneumatically adaptive light modulation system (PALMS) for buildings,Materials and Design,Article,pneumatic-soft,experiment,daylight,include,
2-s2.0-85048680487,10.1007/s12273-018-0433-0,Daylighting and visual comfort of oriental sun responsive skins: A parametric analysis,Building Simulation,Article,mechanical,simulation,multiple,include,
2-s2.0-85049243228,10.1556/1848.2018.9.1.6,Prevention of summer overheating of buildings with added convex windows,International Review of Applied Sciences and Engineering,Article,unclear,experiment,energy,include,
2-s2.0-85050697437,10.1088/1757-899x/362/1/012011,A Methodology for Evaluating the Hygroscopic Behavior of Wood in Adaptive Building Skins using Motion Grammar,Iop Conference Series Materials Science and Engineering,Conference Paper,material-driven,experiment,none,include,
2-s2.0-85040938076,10.1007/s00004-017-0365-5,"Architecture In-Play, Future Challenges",Nexus Network Journal,Article,origami-deployable,experiment,none,include,
2-s2.0-85041382639,10.1016/j.solener.2018.01.082,Developing an advanced daylight model for building energy tool to simulate dynamic shading device,Solar Energy,Article,origami-deployable,simulation,multiple,uncertain_fulltext,PROMOTE: kirigami
2-s2.0-85051750668,10.3992/1943-4618.13.2.145,Modeling and fabrication of a kinetic solar energy-absorbing window as a green idea for sustainable future buildings,Journal of Green Building,Article,unclear,experiment,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85056076335,10.52842/conf.caadria.2018.2.143,Pneumatic skin with adaptive openings: Adaptive façade with opening control integrated with CFD for natural ventilation,Caadria 2018 23rd International Conference on Computer Aided Architectural Design Research in Asia Learning Prototyping and Adapting,Conference Paper,pneumatic-soft,simulation,multiple,include,
2-s2.0-85117689569,10.7480/jfde.2018.1.1865,Using parametric BIM integration for prototyping future responsive façades,Journal of Facade Design and Engineering,Article,origami-deployable,experiment,daylight,include,
2-s2.0-85056302357,10.7480/jfde.2018.3.2574,The role of geometry for adaptability: Comparison of shading systems and biological role models,Journal of Facade Design and Engineering,Article,unclear,simulation,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85054651394,10.7480/cgc.6.2133,Movable thin glass elements in façades,Challenging Glass 6 Conference on Architectural and Structural Applications of Glass Cgc 2018 Proceedings,Conference Paper,origami-deployable,unclear,energy,include,
2-s2.0-85048316260,10.7480/jfde.2018.2.2216,Exploring the potential of smart and multifunctional materials in adaptive opaque façade systems,Journal of Facade Design and Engineering,Article,unclear,unclear,energy,include,
2-s2.0-85032437374,10.1016/j.autcon.2017.10.006,An innovative building envelope (kinetic façade) with Shape Memory Alloys used as actuators and sensors,Automation in Construction,Article,material-driven,prototype,energy,include,
2-s2.0-85054607143,10.7480/cgc.6.2129,Flexible transparency - A study on adaptive thin glass façade panels,Challenging Glass 6 Conference on Architectural and Structural Applications of Glass Cgc 2018 Proceedings,Conference Paper,unclear,prototype,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85058961035,10.26687/archnet-ijar.v12i3.1607,Proposing a novel kinetic skin for building facades using scissor-like-element structures,Archnet Ijar International Journal of Architectural Research,Article,origami-deployable,experiment,comfort,include,
2-s2.0-85056337481,10.7480/jfde.2018.3.2602,Study of a BIPV adaptive system: Combining timber and photovoltaic technologies,Journal of Facade Design and Engineering,Article,material-driven,simulation,energy,include,
2-s2.0-85045672511,10.1088/1748-3190/aa979c,Hindwings of insects as concept generator for hingeless foldable shading systems,Bioinspiration and Biomimetics,Article,origami-deployable,prototype,energy,include,
2-s2.0-85038610561,10.1088/1361-665x/aa9c2f,Flectofold - A biomimetic compliant shading device for complex free form facades,Smart Materials and Structures,Article,pneumatic-soft,experiment,none,include,
2-s2.0-85048333744,10.7480/jfde.2018.1.1781,Numerical investigation of capabilities for dynamic self-shading through shape changing building surface tiles,Journal of Facade Design and Engineering,Article,unclear,simulation,energy,include,
2-s2.0-85096578319,,Self-regulating solar shading system for the building envelope based on thermal shape memory effect,Actuator 2018 16th International Conference and Exhibition on New Actuators and Drive Systems Conference Proceedings,Conference Paper,material-driven,unclear,unclear,include,
2-s2.0-85086487453,10.1201/9780429506208-81,Richard neutra and the history of the vertical louvered solar control system,Building Knowledge Constructing Histories,Conference Paper,mechanical,unclear,daylight,include,
2-s2.0-85028744742,10.1016/j.renene.2017.07.079,Environmental assessment of an integrated adaptive system for the improvement of indoor visual comfort of existing buildings,Renewable Energy,Article,unclear,simulation,multiple,include,
2-s2.0-85020826686,10.1016/j.enbuild.2017.06.030,Lighting and cooling energy assessment of multi-purpose control strategies for external movable shading devices by using shaded fraction,Energy and Buildings,Article,unclear,prototype,multiple,include,
2-s2.0-85027711885,10.3390/su9081449,Method of deriving shaded fraction according to shading movements of kinetic façade,Sustainability Switzerland,Article,mechanical,unclear,energy,include,
2-s2.0-85029605831,10.17660/actahortic.2017.1170.115,Evaluating environmental conditions in open-roof greenhouses,Acta Horticulturae,Conference Paper,mechanical,experiment,energy,include,
2-s2.0-85022208992,10.1016/j.jobe.2017.06.013,NEST HiLo: Investigating lightweight construction and adaptive energy systems,Journal of Building Engineering,Article,pneumatic-soft,experiment,multiple,include,
2-s2.0-85044530680,10.1109/wsc.2017.8247978,Hybrid metaheuristic experiments of real-time adaptive optimization of parametric shading design through remote data transfer,Proceedings Winter Simulation Conference,Conference Paper,unclear,experiment,daylight,include,
2-s2.0-85030535920,10.18260/1-2--28052,Comparative analysis of technologies used in responsive building facades,ASEE Annual Conference and Exposition Conference Proceedings,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-85017550986,10.1016/j.enbuild.2017.04.021,Daylight-linked synchronized shading operation using simplified model-based control,Energy and Buildings,Article,unclear,experiment,multiple,include,
2-s2.0-85045850892,10.15627/jd.2017.1,Solar shading in low energy office buildings - design strategy and user perception,Journal of Daylighting,Article,unclear,simulation,multiple,include,
2-s2.0-85018592600,10.1145/3024969.3024981,Interactive architecture: Exploring and unwrapping the potentials of organic user interfaces,Tei 2017 Proceedings of the 11th International Conference on Tangible Embedded and Embodied Interaction,Conference Paper,unclear,unclear,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85015954497,10.3390/su9030435,Sustainable materialisation of responsive architecture,Sustainability Switzerland,Article,material-driven,experiment,none,include,
2-s2.0-85010756942,10.1016/j.enbuild.2017.01.018,Influence of orientation and the impact of external window shading on building thermal performance in tropical climate,Energy and Buildings,Article,unclear,experiment,energy,include,
2-s2.0-85006868342,10.1080/00038628.2016.1266991,External shading in buildings: comparative analysis of daylighting performance in static and kinetic operation scenarios,Architectural Science Review,Article,mechanical,experiment,daylight,include,
2-s2.0-85002125636,10.1016/j.buildenv.2016.09.035,FAST energy and daylight optimization of an office with fixed and movable shading devices,Building and Environment,Article,origami-deployable,simulation,multiple,include,
2-s2.0-85127839403,10.52842/conf.ecaade.2017.2.231,Kinetic Shading System as a means for Optimizing Energy Load A Parametric Approach to Optimize Daylight Performance for an Office Building in Rome,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-85043390304,10.7480/jfde.2017.2.1737,Directions for the design of energy efficient kinematics in adaptive solar building envelopes,Journal of Facade Design and Engineering,Article,origami-deployable,unclear,energy,include,
2-s2.0-85061365436,10.22360/simaud.2017.simaud.023,Geometry-material coordination for passive adaptive solar morphing envelopes,Simulation Series,Conference Paper,material-driven,unclear,none,include,
2-s2.0-85029908446,10.1016/j.egypro.2017.07.347,Evaluation of a solar thermal glass façade with adjustable transparency in cold and hot climates,Energy Procedia,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85043703955,10.7480/jfde.2017.1.1421,Optimised parametric model of a modular multifunctional climate adaptive façade for shopping centres retrofitting,Journal of Facade Design and Engineering,Conference Paper,mechanical,simulation,multiple,include,
2-s2.0-85020429698,10.1108/ohi-01-2017-b0003,A comparative study of the building energy performance of thermotropic windows,Open House International,Article,unclear,unclear,multiple,include,
2-s2.0-85021961684,10.7480/jfde.2017.1.1425,Multi-active façade for Swedish multi-family homes renovation - Evaluating the potentials of passive design measures,Journal of Facade Design and Engineering,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-85027232772,10.4028/www.scientific.net/kem.742.689,"Fiber-reinforced plastics with locally adapted stiffness for bio-inspired hingeless, deployable architectural systems",Key Engineering Materials,Conference Paper,origami-deployable,prototype,none,include,
2-s2.0-85032707601,10.1016/j.egypro.2017.09.543,The role of shading devices to improve thermal and visual comfort in existing glazed buildings,Energy Procedia,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-85041324911,10.1557/adv.2017.429,Superporous Intelligent Hydrogels for Environmentally Adaptive Building Skins,MRS Advances,Conference Paper,unclear,prototype,multiple,include,
2-s2.0-85018751847,10.1016/j.apenergy.2017.04.046,An integrated thermal and lighting simulation tool to support the design process of complex fenestration systems for office buildings,Applied Energy,Article,mechanical,simulation,multiple,include,
2-s2.0-84992304030,10.1016/j.solmat.2016.04.017,Life cycle assessment of dynamic building integrated photovoltaics,Solar Energy Materials and Solar Cells,Article,unclear,simulation,multiple,include,
2-s2.0-84990929260,10.3390/su8090883,Evaluating thermal and lighting energy performance of shading devices on kinetic façades,Sustainability Switzerland,Article,unclear,case-study,multiple,include,
2-s2.0-85016450269,,The thermal performance of residential building integrated with adaptive kinetic shading system,International Energy Journal,Article,unclear,unclear,unclear,include,
2-s2.0-84977548584,10.1109/icra.2016.7487700,SoRo-Track: A two-axis soft robotic platform for solar tracking and building-integrated photovoltaic applications,Proceedings IEEE International Conference on Robotics and Automation,Conference Paper,pneumatic-soft,experiment,none,include,
2-s2.0-84968877311,10.1016/b978-0-08-100263-6.00018-6,Smart coatings for textiles in architecture,Active Coatings for Smart Textiles,Book Chapter,unclear,unclear,energy,include,
2-s2.0-84954232103,10.1016/j.solener.2015.12.039,Parametric-based designs for kinetic facades to optimize daylight performance: Comparing rotation and translation kinetic motion for hexagonal facade patterns,Solar Energy,Article,mechanical,experiment,daylight,include,
2-s2.0-84930357742,10.1080/17512549.2015.1040071,Adaptation of London's social housing to climate change through retrofit: a holistic evaluation approach,Advances in Building Energy Research,Article,mechanical,simulation,energy,include,
2-s2.0-84978285990,10.1007/978-3-319-40542-1_72,Sync-BIM: The interactive BIM-based platform for controlling data-driven kinetic façade,Communications in Computer and Information Science,Conference Paper,unclear,prototype,multiple,include,
2-s2.0-85125468288,,Origami Explorations A Generative Parametric Technique For kinetic cellular façade to optimize Daylight Performance,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,origami-deployable,simulation,daylight,include,
2-s2.0-84973549990,,The development of kinetic façade units with BIM-based active control system for the adaptive building energy performance service,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing,Conference Paper,unclear,unclear,energy,include,
2-s2.0-84992428115,10.1016/j.proeng.2016.08.029,The Sustainability of Adaptive Envelopes: Developments of Kinetic Architecture,Procedia Engineering,Conference Paper,unclear,simulation,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85127763144,10.52842/conf.ecaade.2016.1.529,Using Tensegrity and Folding to Generate Soft Responsive Architectural Skins,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,material-driven,prototype,daylight,include,
2-s2.0-84968903143,10.3130/jaabe.15.335,Fundamental study on the optimal design of a folding shading device: Solar radiation model & potential cooling load saving,Journal of Asian Architecture and Building Engineering,Article,origami-deployable,simulation,energy,include,
2-s2.0-85015184129,10.1109/wf-iot.2016.7845436,Adaptive building-skin components as context-aware nodes in an extended cyber-physical network,2016 IEEE 3rd World Forum on Internet of Things Wf Iot 2016,Conference Paper,unclear,simulation,comfort,include,
2-s2.0-85011266617,10.12989/eas.2016.11.6.983,Evaluation of the effect of smart façade systems in reducing dynamic response of structures subjected to seismic loads,Earthquake and Structures,Article,unclear,unclear,energy,include,
2-s2.0-84992422423,10.1016/j.proeng.2016.08.031,Kinetic Roof Structure: Msheireb Heart of Doha,Procedia Engineering,Conference Paper,mechanical,unclear,none,include,
2-s2.0-85018960635,10.1016/j.proeng.2016.08.031,Kinetic roof structure: Msheireb heart of Doha,IABSE Congress Stockholm 2016 Challenges in Design and Construction of an Innovative and Sustainable Built Environment,Conference Paper,mechanical,unclear,none,include,
2-s2.0-85010991418,,Wooden bilayers for innovative climate adaptive shading and tracking systems,Wcte 2016 World Conference on Timber Engineering,Conference Paper,unclear,unclear,unclear,uncertain_fulltext,PROMOTE: shading and tracking
2-s2.0-85006410982,10.1016/j.egypro.2016.09.173,Study of Natural Ventilation in wind Tunnels and Influence of the Position of Ventilation Modules and Types of Grids on a Modular Façade System,Energy Procedia,Conference Paper,unclear,experiment,energy,include,
2-s2.0-84940670082,10.1016/j.conbuildmat.2015.08.136,Hygromorphic materials for sustainable responsive architecture,Construction and Building Materials,Article,material-driven,unclear,energy,include,
2-s2.0-84962522336,10.1016/j.egypro.2015.11.663,Shaping an origami shading device through visual and thermal simulations,Energy Procedia,Conference Paper,material-driven,simulation,multiple,include,
2-s2.0-84948123832,10.1017/s0890060415000463,Notes on the design process of a responsive sun-shading system: A case study of designer and user explorations supported by computational tools,Artificial Intelligence for Engineering Design Analysis and Manufacturing AIEDAM,Conference Paper,mechanical,simulation,multiple,include,
2-s2.0-84942929411,10.1088/0964-1726/24/10/105032,On the use of tensegrity structures for kinetic solar facades of smart buildings,Smart Materials and Structures,Article,mechanical,unclear,none,include,
2-s2.0-85066277310,10.1007/978-3-319-17777-9_65,Smart envelope for nearly zero energy schools. The case study of Vallisneri Secondary School in Lucca,Renewable Energy in the Service of Mankind,Book Chapter,unclear,case-study,multiple,include,
2-s2.0-85012260247,,Use of kinetic facades to enhance daylight performance in office buildings with emphasis on Egypt climates,Journal of Engineering and Applied Science,Article,unclear,unclear,daylight,include,
2-s2.0-84943534728,10.4324/9781315763279,"Dynamic, adaptive building envelopes",Building Dynamics Exploring Architecture of Change,Book Chapter,unclear,unclear,none,include,
2-s2.0-84943523876,10.4324/9781315763279,"Adaptive, responsive building skins",Building Dynamics Exploring Architecture of Change,Book Chapter,unclear,unclear,none,include,
2-s2.0-84950303118,10.1260/1478-0771.13.2.143,Computational and physical modeling for multi-cellular pneumatic envelope assemblies,International Journal of Architectural Computing,Article,pneumatic-soft,prototype,energy,include,
2-s2.0-84939979019,10.1007/s11465-015-0326-1,A rate-dependent Prandtl-Ishlinskii model for piezoelectric actuators using the dynamic envelope function based play operator,Frontiers of Mechanical Engineering,Article,unclear,experiment,none,include,
2-s2.0-84919926610,10.1007/s12273-014-0194-3,External shading optimal control macros for 1- and 2-piece automated blinds in European climates,Building Simulation,Article,mechanical,simulation,multiple,include,
2-s2.0-84917736224,,Next-generation smart building using eco-friendly responsive kinetic facade,Icic Express Letters,Article,unclear,unclear,unclear,include,
2-s2.0-85048315643,,Parametric BIM-based Energy Simulation for Buildings with Complex Kinetic Façades,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,simulation,energy,include,
2-s2.0-84983464091,10.1007/978-3-662-47386-3_10,Dynamic façades and computation: Towards an inclusive categorization of high performance kinetic façade systems,Communications in Computer and Information Science,Conference Paper,unclear,simulation,none,include,
2-s2.0-84976439530,,Simulation driven design for kinetic system; optimize kaleidocycle façade configuration for daylighting adequacy in hot arid climates,14th International Conference of Ibpsa Building Simulation 2015 Bs 2015 Conference Proceedings,Conference Paper,unclear,simulation,daylight,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85046073479,10.52842/conf.ecaade.2015.2.715,A Design Framework and a Digital Toolset Supporting the Early-Stage Explorations of Responsive Kinetic Building Skin Concepts,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,experiment,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-84994787800,10.1016/j.egypro.2015.02.174,Kinetic Solar Skin: A Responsive Folding Technique,Energy Procedia,Conference Paper,material-driven,experiment,none,include,
2-s2.0-84954027964,10.1080/17512549.2015.1014839,Multi-criteria energy and daylighting optimization for an office with fixed and moveable shading devices,Advances in Building Energy Research,Article,unclear,simulation,multiple,include,
2-s2.0-84926500777,10.1061/9780784479070.028,"The balance between daylighting and thermal performance based on exploiting the kaleidocycle typology in hot arid climate of Aswan, Egypt",Aei 2015 Birth and Life of the Integrated Building Proceedings of the Aei Conference 2015,Conference Paper,origami-deployable,simulation,multiple,include,
